City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Westerly,US,2021-07-14 05:56:56,41.3776,-71.8273,69.93,96,90,5.75
230,Hami,CN,2021-07-14 05:56:57,42.8,93.45,93.96,12,21,3.27
231,Bosaso,SO,2021-07-14 05:56:57,11.2842,49.1816,89.58,51,75,31.07
232,Brainerd,US,2021-07-14 05:56:57,46.358,-94.2008,63.09,60,6,5.77
233,Geraldton,AU,2021-07-14 05:56:58,-28.7667,114.6,61.21,82,75,17.27
234,Kushima,JP,2021-07-14 05:56:58,31.4583,131.2333,90.91,79,32,4.63
235,Mahanoro,MG,2021-07-14 05:56:59,-19.9,48.8,70.48,68,65,3.96
236,Krasnyy Yar,RU,2021-07-14 05:56:59,46.5331,48.3456,85.96,19,0,6.91
237,Camana,PE,2021-07-14 05:57:00,-16.6228,-72.7111,60.24,89,66,5.1
238,Sisimiut,GL,2021-07-14 05:57:00,66.9395,-53.6735,46.78,85,100,27.47
239,Suntar,RU,2021-07-14 05:57:01,62.1444,117.6319,85.33,32,22,3.24
240,Provideniya,RU,2021-07-14 05:57:01,64.3833,-173.3,44.71,81,75,8.95
241,Beloha,MG,2021-07-14 05:57:01,-25.1667,45.05,73.85,51,0,3.42
242,Fort Nelson,CA,2021-07-14 05:57:02,58.8053,-122.7002,71.19,73,75,0.0
243,Nanortalik,GL,2021-07-14 05:57:02,60.1432,-45.2371,43.25,86,100,12.46
244,Mezen,RU,2021-07-14 05:57:03,65.8522,44.24,61.3,73,100,5.77
245,Shizilu,CN,2021-07-14 05:57:03,35.1711,118.8289,92.23,60,41,10.22
246,Marawi,PH,2021-07-14 05:57:03,7.9986,124.2928,77.47,85,71,3.89
247,Wageningen,NL,2021-07-14 05:57:04,51.9667,5.6667,66.4,93,90,3.0
248,Livingston,GB,2021-07-14 05:57:04,55.9029,-3.5226,60.13,90,40,4.61
249,Ostrovnoy,RU,2021-07-14 05:57:05,68.0531,39.5131,64.72,60,39,9.73
250,Sulangan,PH,2021-07-14 05:57:05,11.1373,123.7228,84.29,68,34,3.67
251,Bridlington,GB,2021-07-14 05:57:05,54.0831,-0.1919,59.29,91,50,14.67
252,Natal,BR,2021-07-14 05:56:48,-5.795,-35.2094,75.85,83,75,8.05
253,Harindanga,IN,2021-07-14 05:57:06,22.0383,88.3214,87.78,64,84,14.61
254,Bure,ET,2021-07-14 05:57:06,10.7,37.0667,59.49,92,100,2.93
255,Sokolka,PL,2021-07-14 05:57:07,53.4072,23.5023,75.65,81,83,9.13
256,Slavyanka,RU,2021-07-14 05:57:07,42.8633,131.3847,71.53,93,84,8.21
257,Knysna,ZA,2021-07-14 05:57:08,-34.0363,23.0471,43.18,79,8,6.93
258,Alofi,NU,2021-07-14 05:57:08,-19.0595,-169.9187,76.89,94,58,9.22
259,Mont-De-Marsan,FR,2021-07-14 05:57:08,44.0,-0.6667,65.44,97,90,6.91
260,Sitka,US,2021-07-14 05:57:09,57.0531,-135.33,52.52,93,100,2.64
261,Raychikhinsk,RU,2021-07-14 05:57:09,49.7838,129.4121,74.05,96,100,12.57
262,Taiyuan,CN,2021-07-14 05:53:57,37.8694,112.5603,93.06,38,20,2.24
263,Satrikh,IN,2021-07-14 05:57:10,26.8667,81.2,93.27,40,38,12.66
264,Vestmanna,FO,2021-07-14 05:57:10,62.1564,-7.1664,49.12,100,90,16.11
265,Namatanai,PG,2021-07-14 05:57:11,-3.6667,152.4333,83.91,72,48,12.93
266,Laguna,US,2021-07-14 05:57:11,38.421,-121.4238,81.43,69,1,4.0
267,Cloquet,US,2021-07-14 05:57:11,46.7216,-92.4594,65.86,81,1,4.61
268,Harsud,IN,2021-07-14 05:57:12,22.1,76.7333,95.2,43,17,5.73
269,Kabompo,ZM,2021-07-14 05:57:12,-13.5927,24.2008,58.23,52,1,3.6
270,Victoria Point,AU,2021-07-14 05:57:13,-27.5833,153.3,71.49,72,65,4.0
271,Kaeo,NZ,2021-07-14 05:57:13,-35.1,173.7833,53.33,71,6,5.48
272,Valparaiso,CL,2021-07-14 05:57:13,-33.0393,-71.6273,51.48,81,0,4.61
273,Gamba,GA,2021-07-14 05:57:14,-2.65,10.0,70.5,87,10,5.99
274,Rosarito,MX,2021-07-14 05:57:14,32.3333,-117.0333,72.05,82,5,2.24
275,Husavik,IS,2021-07-14 05:57:15,66.0449,-17.3389,53.51,71,72,5.53
276,Solnechnyy,RU,2021-07-14 05:57:15,50.7214,136.6319,72.32,95,93,5.1
277,Iberia,US,2021-07-14 05:57:16,29.9502,-91.7507,77.05,90,99,7.2
278,Batagay-Alyta,RU,2021-07-14 05:57:16,67.8006,130.4114,73.45,38,99,17.83
279,Yar-Sale,RU,2021-07-14 05:57:17,66.8333,70.8333,55.65,44,29,3.6
280,Samarai,PG,2021-07-14 05:57:17,-10.6167,150.6667,79.54,86,58,14.9
281,Saskylakh,RU,2021-07-14 05:57:17,71.9167,114.0833,45.86,48,100,19.84
282,Rocha,UY,2021-07-14 05:57:18,-34.4833,-54.3333,52.02,87,100,6.46
283,Bandiagara,ML,2021-07-14 05:57:18,14.3501,-3.6104,82.65,59,94,10.92
284,Sur,OM,2021-07-14 05:57:19,22.5667,59.5289,87.64,66,99,7.49
285,Sola,VU,2021-07-14 05:57:19,-13.8833,167.55,80.53,80,23,19.64
286,Kaitangata,NZ,2021-07-14 05:57:20,-46.2817,169.8464,47.93,56,99,6.2
287,Vao,NC,2021-07-14 05:57:20,-22.6667,167.4833,68.0,56,3,17.11
288,Grand Gaube,MU,2021-07-14 05:57:20,-20.0064,57.6608,74.37,70,19,10.0
289,Ballina,AU,2021-07-14 05:57:21,-28.8667,153.5667,69.98,52,90,11.5
290,Kampong Thum,KH,2021-07-14 05:57:21,12.7111,104.8887,77.59,86,100,2.66
291,Te Anau,NZ,2021-07-14 05:57:22,-45.4167,167.7167,44.62,94,100,5.55
292,Fortuna,US,2021-07-14 05:57:22,40.5982,-124.1573,59.41,94,90,6.91
293,Flinders,AU,2021-07-14 05:57:23,-34.5833,150.8552,61.38,70,100,1.01
294,Kirakira,SB,2021-07-14 05:57:23,-10.4544,161.9205,82.35,79,46,11.65
